---config@码表分类=主码-3
---config@允许编辑=否
---config@码表别名=系统英文
a	a#序10000
lbj	lbj#序10000
lcd	lcd#序10000
lcf	lcf#序10000
lci	lci#序10000
lcj	lcj#序10000
lcl	lcl#序10000
lcm	lcm#序10000
lcp	lcp#序10000
ldc	ldc#序10000
ldh	ldh#序10000
led	led#序10000
lee	lee#序10000
leg	leg#序10000
leh	leh#序10000
lei	lei#序10000
lek	lek#序10000
lem	lem#序10000
leo	leo#序10000
les	les#序10000
let	let#序10000
leu	leu#序10000
lev	lev#序10000
lew	lew#序10000
lex	lex#序10000
ley	ley#序10000
lez	lez#序10000
lgm	lgm#序10000
lha	lha#序10000
lhc	lhc#序10000
lhd	lhd#序10000
lht	lht#序10000
lib	lib#序10000
lid	lid#序10000
lie	lie#序10000
lig	lig#序10000
lil	lil#序10000
lim	lim#序10000
lip	lip#序10000
lit	lit#序10000
lkg	lkg#序10000
lkr	lkr#序10000
llc	llc#序10000
lmg	lmg#序10000
lmh	lmh#序10000
lms	lms#序10000
lmt	lmt#序10000
lng	lng#序10000
lob	lob#序10000
log	log#序10000
loi	loi#序10000
lol	lol#序10000
loo	loo#序10000
lop	lop#序10000
lor	lor#序10000
lot	lot#序10000
lou	lou#序10000
low	low#序10000
lox	lox#序10000
lpg	lpg#序10000
lpi	lpi#序10000
lpn	lpn#序10000
lps	lps#序10000
lpt	lpt#序10000
lrl	lrl#序10000
lrv	lrv#序10000
lst	lst#序10000
lsu	lsu#序10000
lsv	lsv#序10000
ltd	ltd#序10000
lud	lud#序10000
lug	lug#序10000
lur	lur#序10000
lux	lux#序10000
lvn	lvn#序10000
lwl	lwl#序10000
lws	lws#序10000
lwv	lwv#序10000
lxv	lxv#序10000
lxx	lxx#序10000
lye	lye#序10000
mab	mab#序10000
mac	mac#序10000
mad	mad#序10000
mae	mae#序10000
mag	mag#序10000
mal	mal#序10000
mam	mam#序10000
man	man#序10000
mao	mao#序10000
map	map#序10000
mar	mar#序10000
mas	mas#序10000
mat	mat#序10000
max	max#序10000
may	may#序10000
mbd	mbd#序10000
mbs	mbs#序10000
mca	mca#序10000
mcd	mcd#序10000
mce	mce#序10000
mcg	mcg#序10000
mci	mci#序10000
mcm	mcm#序10000
mcp	mcp#序10000
mcs	mcs#序10000
mda	mda#序10000
mdc	mdc#序10000
mdr	mdr#序10000
mds	mds#序10000
mdt	mdt#序10000
mec	mec#序10000
med	med#序10000
mef	mef#序10000
meg	meg#序10000
mel	mel#序10000
men	men#序10000
met	met#序10000
meu	meu#序10000
mev	mev#序10000
mew	mew#序10000
mex	mex#序10000
mfa	mfa#序10000
mfh	mfh#序10000
mfn	mfn#序10000
mfp	mfp#序10000
mgd	mgd#序10000
mhc	mhc#序10000
mhg	mhg#序10000
mhl	mhl#序10000
mho	mho#序10000
mhr	mhr#序10000
mhs	mhs#序10000
mhw	mhw#序10000
mhz	mhz#序10000
mia	mia#序10000
mib	mib#序10000
mic	mic#序10000
mid	mid#序10000
mig	mig#序10000
mii	mii#序10000
mil	mil#序10000
mim	mim#序10000
mio	mio#序10000
mir	mir#序10000
mis	mis#序10000
mit	mit#序10000
mix	mix#序10000
mlf	mlf#序10000
mlg	mlg#序10000
mlw	mlw#序10000
mmf	mmf#序10000
mmm	mmm#序10000
mmx	mmx#序10000
mna	mna#序10000
mne	mne#序10000
mns	mns#序10000
moa	moa#序10000
mob	mob#序10000
mog	mog#序10000
mol	mol#序10000
mon	mon#序10000
mop	mop#序10000
mor	mor#序10000
mou	mou#序10000
mow	mow#序10000
mpc	mpc#序10000
mpe	mpe#序10000
mph	mph#序10000
mpl	mpl#序10000
mpm	mpm#序10000
mpo	mpo#序10000
mpp	mpp#序10000
mpu	mpu#序10000
mpx	mpx#序10000
mrc	mrc#序10000
mre	mre#序10000
mri	mri#序10000
mrs	mrs#序10000
mrv	mrv#序10000
msa	msa#序10000
msj	msj#序10000
msn	msn#序10000
msp	msp#序10000
msr	msr#序10000
mss	mss#序10000
mst	mst#序10000
msy	msy#序10000
mtb	mtb#序10000
mto	mto#序10000
mts	mts#序10000
mtu	mtu#序10000
muf	muf#序10000
mum	mum#序10000
mun	mun#序10000
mup	mup#序10000
mut	mut#序10000
mux	mux#序10000
mvd	mvd#序10000
mvo	mvo#序10000
mvp	mvp#序10000
mwa	mwa#序10000
mwt	mwt#序10000
myg	myg#序10000
myl	myl#序10000
mym	mym#序10000
nab	nab#序10000
nae	nae#序10000
nag	nag#序10000
nam	nam#序10000
nap	nap#序10000
nas	nas#序10000
nat	nat#序10000
nav	nav#序10000
naw	naw#序10000
nay	nay#序10000
nba	nba#序10000
nbe	nbe#序10000
nbf	nbf#序10000
nbg	nbg#序10000
nbs	nbs#序10000
nbw	nbw#序10000
nce	nce#序10000
ncr	ncr#序10000
ncu	ncu#序10000
ncv	ncv#序10000
ndp	ndp#序10000
ndr	ndr#序10000
nds	nds#序10000
neb	neb#序10000
nec	nec#序10000
ned	ned#序10000
nee	nee#序10000
nef	nef#序10000
nei	nei#序10000
nek	nek#序10000
nep	nep#序10000
nes	nes#序10000
net	net#序10000
new	new#序10000
nfc	nfc#序10000
nfd	nfd#序10000
nfl	nfl#序10000
nfs	nfs#序10000
nfu	nfu#序10000
nga	nga#序10000
ngc	ngc#序10000
ngf	ngf#序10000
ngr	ngr#序10000
ngu	ngu#序10000
nhg	nhg#序10000
nhi	nhi#序10000
nhk	nhk#序10000
nhl	nhl#序10000
nhp	nhp#序10000
nhs	nhs#序10000
nib	nib#序10000
nic	nic#序10000
nif	nif#序10000
nih	nih#序10000
nii	nii#序10000
nim	nim#序10000
nin	nin#序10000
nip	nip#序10000
nis	nis#序10000
nit	nit#序10000
nix	nix#序10000
nlc	nlc#序10000
nlf	nlf#序10000
nlp	nlp#序10000
nls	nls#序10000
nlt	nlt#序10000
nmi	nmi#序10000
nmr	nmr#序10000
nmu	nmu#序10000
nnp	nnp#序10000
nob	nob#序10000
noc	noc#序10000
nod	nod#序10000
noe	noe#序10000
nog	nog#序10000
nok	nok#序10000
nom	nom#序10000
non	non#序10000
nop	nop#序10000
nor	nor#序10000
nos	nos#序10000
not	not#序10000
nov	nov#序10000
now	now#序10000
nox	nox#序10000
noy	noy#序10000
npa	npa#序10000
npd	npd#序10000
npf	npf#序10000
npl	npl#序10000
npn	npn#序10000
npr	npr#序10000
npv	npv#序10000
nsa	nsa#序10000
nsb	nsb#序10000
nsc	nsc#序10000
nse	nse#序10000
nsf	nsf#序10000
nsm	nsm#序10000
nte	nte#序10000
nth	nth#序10000
ntp	ntp#序10000
nub	nub#序10000
nuj	nuj#序10000
num	num#序10000
nun	nun#序10000
nur	nur#序10000
nus	nus#序10000
nut	nut#序10000
nwa	nwa#序10000
nwt	nwt#序10000
nyc	nyc#序10000
nye	nye#序10000
nyp	nyp#序10000
nyt	nyt#序10000
nyu	nyu#序10000
nyx	nyx#序10000
oaa	oaa#序10000
oaf	oaf#序10000
oak	oak#序10000
oam	oam#序10000
oao	oao#序10000
oap	oap#序10000
oar	oar#序10000
oas	oas#序10000
oat	oat#序10000
oaw	oaw#序10000
oba	oba#序10000
obi	obi#序10000
ocd	ocd#序10000
och	och#序10000
ocr	ocr#序10000
ocs	ocs#序10000
oct	oct#序10000
oda	oda#序10000
odd	odd#序10000
ode	ode#序10000
odm	odm#序10000
odt	odt#序10000
odu	odu#序10000
oem	oem#序10000
oeo	oeo#序10000
oep	oep#序10000
oer	oer#序10000
oes	oes#序10000
off	off#序10000
ofm	ofm#序10000
ofr	ofr#序10000
ofs	ofs#序10000
oft	oft#序10000
ogo	ogo#序10000
ohg	ohg#序10000
ohm	ohm#序10000
oho	oho#序10000
oid	oid#序10000
oil	oil#序10000
oit	oit#序10000
ojt	ojt#序10000
oke	oke#序10000
oki	oki#序10000
old	old#序10000
ole	ole#序10000
olg	olg#序10000
olm	olm#序10000
oma	oma#序10000
omg	omg#序10000
omt	omt#序10000
one	one#序10000
oni	oni#序10000
ono	ono#序10000
onr	onr#序10000
ooa	ooa#序10000
oof	oof#序10000
oom	oom#序10000
oop	oop#序10000
oos	oos#序10000
ope	ope#序10000
ops	ops#序10000
opt	opt#序10000
ora	ora#序10000
orb	orb#序10000
orc	orc#序10000
ore	ore#序10000
ort	ort#序10000
osa	osa#序10000
osb	osb#序10000
osd	osd#序10000
osf	osf#序10000
osi	osi#序10000
oso	oso#序10000
osp	osp#序10000
oss	oss#序10000
ost	ost#序10000
otb	otb#序10000
otf	otf#序10000
otp	otp#序10000
ots	ots#序10000
oud	oud#序10000
oui	oui#序10000
oup	oup#序10000
our	our#序10000
out	out#序10000
ovl	ovl#序10000
ovr	ovr#序10000
owe	owe#序10000
owi	owi#序10000
owl	owl#序10000
own	own#序10000
oxo	oxo#序10000
pac	pac#序10000
pad	pad#序10000
pah	pah#序10000
pal	pal#序10000
pam	pam#序10000
pan	pan#序10000
pap	pap#序10000
par	par#序10000
pas	pas#序10000
pat	pat#序10000
pau	pau#序10000
pav	pav#序10000
pax	pax#序10000
pay	pay#序10000
pba	pba#序10000
pbb	pbb#序10000
pbp	pbp#序10000
pbs	pbs#序10000
pbx	pbx#序10000
pcb	pcb#序10000
pci	pci#序10000
pcl	pcl#序10000
pcp	pcp#序10000
pda	pda#序10000
pdb	pdb#序10000
pdd	pdd#序10000
pdf	pdf#序10000
pdh	pdh#序10000
pdi	pdi#序10000
pdl	pdl#序10000
pdm	pdm#序10000
pdp	pdp#序10000
pdq	pdq#序10000
pds	pds#序10000
pdt	pdt#序10000
pdu	pdu#序10000
pec	pec#序10000
ped	ped#序10000
pee	pee#序10000
peg	peg#序10000
peh	peh#序10000
pem	pem#序10000
pen	pen#序10000
pep	pep#序10000
per	per#序10000
pet	pet#序10000
pew	pew#序10000
pfc	pfc#序10000
pfd	pfd#序10000
pga	pga#序10000
pha	pha#序10000
phe	phe#序10000
phi	phi#序10000
php	php#序10000
phs	phs#序10000
pia	pia#序10000
pic	pic#序10000
pid	pid#序10000
pie	pie#序10000
pif	pif#序10000
pig	pig#序10000
pim	pim#序10000
pin	pin#序10000
pip	pip#序10000
pit	pit#序10000
pix	pix#序10000
pki	pki#序10000
pks	pks#序10000
pku	pku#序10000
plc	plc#序10000
plf	plf#序10000
pli	pli#序10000
plo	plo#序10000
plp	plp#序10000
plu	plu#序10000
ply	ply#序10000
pmo	pmo#序10000
pna	pna#序10000
png	png#序10000
pnp	pnp#序10000
pnr	pnr#序10000
pob	pob#序10000
poc	poc#序10000
pod	pod#序10000
poe	poe#序10000
poh	poh#序10000
poi	poi#序10000
pom	pom#序10000
pop	pop#序10000
por	por#序10000
pos	pos#序10000
pot	pot#序10000
pox	pox#序10000
ppb	ppb#序10000
ppe	ppe#序10000
ppm	ppm#序10000
pps	pps#序10000
ppt	ppt#序10000
prc	prc#序10000
pre	pre#序10000
prf	prf#序10000
pri	pri#序10000
prn	prn#序10000
pro	pro#序10000
prs	prs#序10000
psa	psa#序10000
psc	psc#序10000
psf	psf#序10000
psg	psg#序10000
psi	psi#序10000
psn	psn#序10000
pst	pst#序10000
pte	pte#序10000
ptv	ptv#序10000
pub	pub#序10000
pud	pud#序10000
pug	pug#序10000
pul	pul#序10000
pun	pun#序10000
pup	pup#序10000
pur	pur#序10000
pus	pus#序10000
put	put#序10000
puy	puy#序10000
pvc	pvc#序10000
pvm	pvm#序10000
pvt	pvt#序10000
pwd	pwd#序10000
pwt	pwt#序10000
pya	pya#序10000
pye	pye#序10000
pyx	pyx#序10000
qbe	qbe#序10000
qbp	qbp#序10000
qcb	qcb#序10000
qcd	qcd#序10000
qda	qda#序10000
qea	qea#序10000
qef	qef#序10000
qei	qei#序10000
qic	qic#序10000
qkt	qkt#序10000
qmc	qmc#序10000
qmg	qmg#序10000
qms	qms#序10000
qnp	qnp#序10000
qom	qom#序10000
qos	qos#序10000
qpm	qpm#序10000
qrp	qrp#序10000
qse	qse#序10000
qst	qst#序10000
qua	qua#序10000
qum	qum#序10000
raa	raa#序10000
rac	rac#序10000
rad	rad#序10000
raf	raf#序10000
rag	rag#序10000
rah	rah#序10000
ram	ram#序10000
ran	ran#序10000
rap	rap#序10000
ras	ras#序10000
rau	rau#序10000
raw	raw#序10000
ray	ray#序10000
rba	rba#序10000
rbe	rbe#序10000
rbi	rbi#序10000
rbs	rbs#序10000
rca	rca#序10000
rco	rco#序10000
rct	rct#序10000
rda	rda#序10000
rdb	rdb#序10000
rdc	rdc#序10000
rdo	rdo#序10000
rdx	rdx#序10000
reb	reb#序10000
red	red#序10000
ree	ree#序10000
ref	ref#序10000
reg	reg#序10000
rei	rei#序10000
rep	rep#序10000
res	res#序10000
ret	ret#序10000
rev	rev#序10000
rex	rex#序10000
rfa	rfa#序10000
rfc	rfc#序10000
rfe	rfe#序10000
rfz	rfz#序10000
rga	rga#序10000
rgg	rgg#序10000
rgs	rgs#序10000
rgt	rgt#序10000
rhe	rhe#序10000
rhg	rhg#序10000
rho	rho#序10000
rhq	rhq#序10000
ric	ric#序10000
rid	rid#序10000
rif	rif#序10000
rig	rig#序10000
rim	rim#序10000
rio	rio#序10000
rip	rip#序10000
rld	rld#序10000
rmb	rmb#序10000
rmc	rmc#序10000
rmt	rmt#序10000
rnr	rnr#序10000
rob	rob#序10000
roc	roc#序10000
rod	rod#序10000
roe	roe#序10000
rog	rog#序10000
roi	roi#序10000
rok	rok#序10000
roo	roo#序10000
rot	rot#序10000
row	row#序10000
roz	roz#序10000
rpc	rpc#序10000
rpe	rpe#序10000
rpg	rpg#序10000
rpi	rpi#序10000
rpm	rpm#序10000
rpq	rpq#序10000
rps	rps#序10000
rrb	rrb#序10000
rrc	rrc#序10000
rrl	rrl#序10000
rsc	rsc#序10000
rsd	rsd#序10000
rse	rse#序10000
rsj	rsj#序10000
rsl	rsl#序10000
rsn	rsn#序10000
rsp	rsp#序10000
rss	rss#序10000
rsv	rsv#序10000
rtl	rtl#序10000
rtm	rtm#序10000
rto	rto#序10000
rtt	rtt#序10000
rub	rub#序10000
rue	rue#序10000
rug	rug#序10000
rum	rum#序10000
run	run#序10000
rut	rut#序10000
rye	rye#序10000
sab	sab#序10000
sac	sac#序10000
sad	sad#序10000
sag	sag#序10000
sam	sam#序10000
san	san#序10000
sao	sao#序10000
sap	sap#序10000
sas	sas#序10000
sat	sat#序10000
sau	sau#序10000
sav	sav#序10000
saw	saw#序10000
sax	sax#序10000
say	say#序10000
sba	sba#序10000
sbc	sbc#序10000
sbe	sbe#序10000
sbm	sbm#序10000
sbn	sbn#序10000
sbr	sbr#序10000
sbw	sbw#序10000
scm	scm#序10000
sco	sco#序10000
scr	scr#序10000
scs	scs#序10000
scv	scv#序10000
sdh	sdh#序10000
sdk	sdk#序10000
sea	sea#序10000
sec	sec#序10000
see	see#序10000
sei	sei#序10000
sel	sel#序10000
sen	sen#序10000
sep	sep#序10000
ser	ser#序10000
ses	ses#序10000
set	set#序10000
sew	sew#序10000
sex	sex#序10000
sfa	sfa#序10000
sfx	sfx#序10000
sfz	sfz#序10000
sgi	sgi#序10000
sgm	sgm#序10000
sha	sha#序10000
she	she#序10000
shf	shf#序10000
shh	shh#序10000
shm	shm#序10000
shy	shy#序10000
sia	sia#序10000
sib	sib#序10000
sic	sic#序10000
sid	sid#序10000
sig	sig#序10000
sin	sin#序10000
sir	sir#序10000
sis	sis#序10000
sit	sit#序10000
siu	siu#序10000
six	six#序10000
sjc	sjc#序10000
sjd	sjd#序10000
ski	ski#序10000
sky	sky#序10000
sla	sla#序10000
slp	slp#序10000
slv	slv#序10000
sly	sly#序10000
smb	smb#序10000
smd	smd#序10000
smf	smf#序10000
smg	smg#序10000
snr	snr#序10000
sob	sob#序10000
sod	sod#序10000
sof	sof#序10000
sol	sol#序10000
son	son#序10000
sop	sop#序10000
sos	sos#序10000
sot	sot#序10000
sou	sou#序10000
sov	sov#序10000
sow	sow#序10000
soy	soy#序10000
spa	spa#序10000
spc	spc#序10000
spd	spd#序10000
spr	spr#序10000
sps	sps#序10000
spy	spy#序10000
sql	sql#序10000
src	src#序10000
sri	sri#序10000
srs	srs#序10000
srv	srv#序10000
ssa	ssa#序10000
ssd	ssd#序10000
ssg	ssg#序10000
ssl	ssl#序10000
ssn	ssn#序10000
ssr	ssr#序10000
sss	sss#序10000
sst	sst#序10000
stp	stp#序10000
str	str#序10000
stt	stt#序10000
stu	stu#序10000
stv	stv#序10000
sty	sty#序10000
sub	sub#序10000
sue	sue#序10000
sui	sui#序10000
suk	suk#序10000
sum	sum#序10000
sun	sun#序10000
sup	sup#序10000
suq	suq#序10000
sur	sur#序10000
svd	svd#序10000
swg	swg#序10000
taa	taa#序10000
tab	tab#序10000
tac	tac#序10000
tad	tad#序10000
tag	tag#序10000
tai	tai#序10000
tam	tam#序10000
tan	tan#序10000
tao	tao#序10000
tap	tap#序10000
tar	tar#序10000
tat	tat#序10000
tau	tau#序10000
tav	tav#序10000
taw	taw#序10000
tax	tax#序10000
tay	tay#序10000
taz	taz#序10000
tba	tba#序10000
tbm	tbm#序10000
tbo	tbo#序10000
tbs	tbs#序10000
tcb	tcb#序10000
tcd	tcd#序10000
tco	tco#序10000
tcp	tcp#序10000
tcs	tcs#序10000
tdb	tdb#序10000
tdn	tdn#序10000
tdy	tdy#序10000
tea	tea#序10000
ted	ted#序10000
tee	tee#序10000
teg	teg#序10000
tel	tel#序10000
ten	ten#序10000
ter	ter#序10000
tet	tet#序10000
teu	teu#序10000
tew	tew#序10000
tex	tex#序10000
tft	tft#序10000
tgv	tgv#序10000
thc	thc#序10000
thd	thd#序10000
the	the#序10000
tho	tho#序10000
thp	thp#序10000
thu	thu#序10000
thy	thy#序10000
tia	tia#序10000
tic	tic#序10000
tid	tid#序10000
tie	tie#序10000
tif	tif#序10000
tig	tig#序10000
tih	tih#序10000
tim	tim#序10000
tin	tin#序10000
tip	tip#序10000
tit	tit#序10000
tiu	tiu#序10000
tko	tko#序10000
tlc	tlc#序10000
tlo	tlo#序10000
tlp	tlp#序10000
tmo	tmo#序10000
tmv	tmv#序10000
tnb	tnb#序10000
tob	tob#序10000
tod	tod#序10000
toe	toe#序10000
tog	tog#序10000
tom	tom#序10000
ton	ton#序10000
too	too#序10000
top	top#序10000
tor	tor#序10000
tot	tot#序10000
tow	tow#序10000
tpi	tpi#序10000
tpn	tpn#序10000
tpr	tpr#序10000
trf	trf#序10000
tri	tri#序10000
trm	trm#序10000
try	try#序10000
tsi	tsi#序10000
tsk	tsk#序10000
tsp	tsp#序10000
ttf	ttf#序10000
tty	tty#序10000
tuc	tuc#序10000
tue	tue#序10000
tug	tug#序10000
tui	tui#序10000
tum	tum#序10000
tun	tun#序10000
tup	tup#序10000
tut	tut#序10000
tux	tux#序10000
tvp	tvp#序10000
tvr	tvr#序10000
two	two#序10000
twp	twp#序10000
tws	tws#序10000
twu	twu#序10000
twx	twx#序10000
tyg	tyg#序10000
uaa	uaa#序10000
uae	uae#序10000
ual	ual#序10000
uar	uar#序10000
uat	uat#序10000
uaw	uaw#序10000
uba	uba#序10000
ube	ube#序10000
ubi	ubi#序10000
uda	uda#序10000
udf	udf#序10000
udi	udi#序10000
udo	udo#序10000
udp	udp#序10000
udr	udr#序10000
udt	udt#序10000
ufo	ufo#序10000
uft	uft#序10000
ugc	ugc#序10000
ugh	ugh#序10000
ugt	ugt#序10000
uhf	uhf#序10000
uis	uis#序10000
uke	uke#序10000
ulf	ulf#序10000
ulm	ulm#序10000
ulu	ulu#序10000
uma	uma#序10000
umb	umb#序10000
umc	umc#序10000
uml	uml#序10000
ump	ump#序10000
umt	umt#序10000
umw	umw#序10000
una	una#序10000
unc	unc#序10000
uno	uno#序10000
upc	upc#序10000
upi	upi#序10000
ups	ups#序10000
upu	upu#序10000
urc	urc#序10000
urd	urd#序10000
uri	uri#序10000
url	url#序10000
urn	urn#序10000
usa	usa#序10000
usb	usb#序10000
use	use#序10000
ush	ush#序10000
usn	usn#序10000
uso	uso#序10000
usr	usr#序10000
uss	uss#序10000
usv	usv#序10000
usw	usw#序10000
uta	uta#序10000
ute	ute#序10000
uto	uto#序10000
utp	utp#序10000
vad	vad#序10000
vag	vag#序10000
val	val#序10000
var	var#序10000
vas	vas#序10000
vat	vat#序10000
vav	vav#序10000
vax	vax#序10000
vbi	vbi#序10000
vcd	vcd#序10000
vcr	vcr#序10000
vdc	vdc#序10000
vdi	vdi#序10000
vdr	vdr#序10000
vdt	vdt#序10000
vee	vee#序10000
vel	vel#序10000
vet	vet#序10000
vex	vex#序10000
vfd	vfd#序10000
vfr	vfr#序10000
vfw	vfw#序10000
vga	vga#序10000
vhf	vhf#序10000
vhs	vhs#序10000
via	via#序10000
vic	vic#序10000
vig	vig#序10000
vii	vii#序10000
vim	vim#序10000
vin	vin#序10000
vip	vip#序10000
vir	vir#序10000
vis	vis#序10000
vla	vla#序10000
vlb	vlb#序10000
vly	vly#序10000
vmd	vmd#序10000
vmi	vmi#序10000
voa	voa#序10000
voe	voe#序10000
von	von#序10000
vop	vop#序10000
vow	vow#序10000
vox	vox#序10000
vpd	vpd#序10000
vpn	vpn#序10000
vrd	vrd#序10000
vri	vri#序10000
vrm	vrm#序10000
vsf	vsf#序10000
vtc	vtc#序10000
vtp	vtp#序10000
vtr	vtr#序10000
vug	vug#序10000
vum	vum#序10000
vxd	vxd#序10000
wad	wad#序10000
wae	wae#序10000
wag	wag#序10000
wan	wan#序10000
wap	wap#序10000
war	war#序10000
was	was#序10000
waw	waw#序10000
wax	wax#序10000
way	way#序10000
wba	wba#序10000
wbc	wbc#序10000
wbn	wbn#序10000
wbo	wbo#序10000
wbs	wbs#序10000
wcc	wcc#序10000
wdc	wdc#序10000
wdm	wdm#序10000
wdp	wdp#序10000
web	web#序10000
wec	wec#序10000
wed	wed#序10000
wee	wee#序10000
wen	wen#序10000
wep	wep#序10000
wes	wes#序10000
wet	wet#序10000
wey	wey#序10000
wfb	wfb#序10000
wfd	wfd#序10000
wfm	wfm#序10000
wfp	wfp#序10000
wga	wga#序10000
who	who#序10000
whp	whp#序10000
why	why#序10000
wia	wia#序10000
win	win#序10000
wit	wit#序10000
wiz	wiz#序10000
wll	wll#序10000
wlm	wlm#序10000
wmc	wmc#序10000
wmo	wmo#序10000
wnp	wnp#序10000
wob	wob#序10000
wog	wog#序10000
won	won#序10000
woo	woo#序10000
wop	wop#序10000
wot	wot#序10000
wow	wow#序10000
wpc	wpc#序10000
wpi	wpi#序10000
wpm	wpm#序10000
wps	wps#序10000
wrb	wrb#序10000
wri	wri#序10000
wrt	wrt#序10000
wry	wry#序10000
wsa	wsa#序10000
wsb	wsb#序10000
wsj	wsj#序10000
wsp	wsp#序10000
wtc	wtc#序10000
wto	wto#序10000
wtp	wtp#序10000
wud	wud#序10000
wvf	wvf#序10000
wvs	wvs#序10000
wwf	wwf#序10000
www	www#序10000
wye	wye#序10000
xat	xat#序10000
xcv	xcv#序10000
xdr	xdr#序10000
xii	xii#序10000
xiv	xiv#序10000
xix	xix#序10000
xml	xml#序10000
xms	xms#序10000
xns	xns#序10000
xql	xql#序10000
xsl	xsl#序10000
xvi	xvi#序10000
xxi	xxi#序10000
xxv	xxv#序10000
xxx	xxx#序10000
yaf	yaf#序10000
yah	yah#序10000
yam	yam#序10000
yap	yap#序10000
ycl	ycl#序10000
yea	yea#序10000
yeh	yeh#序10000
yen	yen#序10000
yeo	yeo#序10000
yep	yep#序10000
yes	yes#序10000
yet	yet#序10000
yew	yew#序10000
yha	yha#序10000
yid	yid#序10000
yig	yig#序10000
yip	yip#序10000
yob	yob#序10000
yod	yod#序10000
yom	yom#序10000
yon	yon#序10000
you	you#序10000
yow	yow#序10000
yqb	yqb#序10000
yso	yso#序10000
yuk	yuk#序10000
yum	yum#序10000
yup	yup#序10000
yva	yva#序10000
yvr	yvr#序10000
yyz	yyz#序10000
zag	zag#序10000
zap	zap#序10000
zea	zea#序10000
zed	zed#序10000
zee	zee#序10000
zeg	zeg#序10000
zek	zek#序10000
zen	zen#序10000
zep	zep#序10000
zho	zho#序10000
zif	zif#序10000
zig	zig#序10000
zip	zip#序10000
zoa	zoa#序10000
zoo	zoo#序10000
zpg	zpg#序10000
aaal	aaal#序10000
aacs	aacs#序10000
aare	aare#序10000
aarp	aarp#序10000
aaui	aaui#序10000
aaup	aaup#序10000
aauw	aauw#序10000
abac	abac#序10000
abas	abas#序10000
abba	abba#序10000
abbe	abbe#序10000
abbr	abbr#序10000
abby	abby#序10000
abcd	abcd#序10000
abed	abed#序10000
abel	abel#序10000
abet	abet#序10000
able	able#序10000
ably	ably#序10000
abri	abri#序10000
abut	abut#序10000
abye	abye#序10000
acer	acer#序10000
acgb	acgb#序10000
ache	ache#序10000
achy	achy#序10000
acid	acid#序10000
acis	acis#序10000
acls	acls#序10000
aclu	aclu#序10000
acme	acme#序10000
acne	acne#序10000
acol	acol#序10000
acpi	acpi#序10000
acre	acre#序10000
acrr	acrr#序10000
acta	acta#序10000
acth	acth#序10000
acus	acus#序10000
acyl	acyl#序10000
adae	adae#序10000
adah	adah#序10000
adam	adam#序10000
adar	adar#序10000
adas	adas#序10000
adat	adat#序10000
aden	aden#序10000
adgb	adgb#序10000
adit	adit#序10000
adjt	adjt#序10000
adry	adry#序10000
adsl	adsl#序10000
adze	adze#序10000
aeon	aeon#序10000
aero	aero#序10000
aery	aery#序10000
aesc	aesc#序10000
afar	afar#序10000
afdb	afdb#序10000
afdc	afdc#序10000
afge	afge#序10000
agal	agal#序10000
agar	agar#序10000
aged	aged#序10000
agee	agee#序10000
agha	agha#序10000
agin	agin#序10000
agio	agio#序10000
agma	agma#序10000
agog	agog#序10000
agon	agon#序10000
agro	agro#序10000
ague	ague#序10000
ahab	ahab#序10000
ahem	ahem#序10000
ahoy	ahoy#序10000
ahum	ahum#序10000
aias	aias#序10000
aide	aide#序10000
aids	aids#序10000
aiee	aiee#序10000
aiff	aiff#序10000
aiie	aiie#序10000
aino	aino#序10000
ainu	ainu#序10000
aire	aire#序10000
airt	airt#序10000
airy	airy#序10000
aiwa	aiwa#序10000
ajar	ajar#序10000
ajog	ajog#序10000
ajut	ajut#序10000
akee	akee#序10000
akin	akin#序10000
akos	akos#序10000
alae	alae#序10000
alai	alai#序10000
alan	alan#序10000
alap	alap#序10000
alar	alar#序10000
alas	alas#序10000
alba	alba#序10000
aldo	aldo#序10000
alec	alec#序10000
alee	alee#序10000
alep	alep#序10000
alfa	alfa#序10000
alga	alga#序10000
alif	alif#序10000
alit	alit#序10000
alky	alky#序10000
allo	allo#序10000
ally	ally#序10000
alma	alma#序10000
alme	alme#序10000
alms	alms#序10000
alod	alod#序10000
aloe	aloe#序10000
alow	alow#序10000
alps	alps#序10000
also	also#序10000
alta	alta#序10000
alto	alto#序10000
alum	alum#序10000
amah	amah#序10000
ambo	ambo#序10000
amdg	amdg#序10000
amen	amen#序10000
ames	ames#序10000
amex	amex#序10000
amic	amic#序10000
amid	amid#序10000
amie	amie#序10000
amir	amir#序10000
ammo	ammo#序10000
amok	amok#序10000
amon	amon#序10000
amor	amor#序10000
amos	amos#序10000
amoy	amoy#序10000
amps	amps#序10000
amur	amur#序10000
amyl	amyl#序10000
anal	anal#序10000
anam	anam#序10000
anba	anba#序10000
andy	andy#序10000
anew	anew#序10000
anik	anik#序10000
anil	anil#序10000
